"name","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Dar al Gani 771","H5","60.8","Found","1999","26.919170","16.522170","(26.91917, 16.52217)"
"Dar al Gani 772","LL3","8.6999999999999993","Found","1999","26.932170","16.494330","(26.93217, 16.49433)"
"Dar al Gani 773","LL3","88.5","Found","1999","26.961830","16.450170","(26.96183, 16.45017)"
"Dar al Gani 774","H5","24.9","Found","1999","26.948330","16.478000","(26.94833, 16.478)"
"Dar al Gani 775","H5","596","Found","1999","26.967500","16.449670","(26.9675, 16.44967)"
"Dar al Gani 776","H5","49.4","Found","1999","26.983670","16.445330","(26.98367, 16.44533)"
"Dar al Gani 777","L6","124","Found","1999","26.984670","16.444830","(26.98467, 16.44483)"
"Dar al Gani 778","L3/4","28.9","Found","1999","26.991000","16.444330","(26.991, 16.44433)"
"Dar al Gani 779","Howardite","18800","Found","1999","26.992330","16.437500","(26.99233, 16.4375)"
"Dar al Gani 840","L6","63.7","Found","1999","26.984830","16.440830","(26.98483, 16.44083)"
"Dar al Gani 844","Eucrite","143","Found","1999","27.396000","16.190500","(27.396, 16.1905)"
"Dar al Gani 845","CO3","21","Found","1999","27.080830","16.056330","(27.08083, 16.05633)"
"Dar al Gani 846","CO3","94","Found","1999","27.069670","16.096500","(27.06967, 16.0965)"
"Dar al Gani 847","CO3","164","Found","1999","27.065500","16.079830","(27.0655, 16.07983)"
"Dar al Gani 848","CO3","59","Found","1999","27.083000","16.053500","(27.083, 16.0535)"
"Dar al Gani 851","L5","1395","Found","1999","27.202170","15.893000","(27.20217, 15.893)"
"Dar al Gani 852","CO3","481","Found","1999","27.198330","15.901170","(27.19833, 15.90117)"
"Dar al Gani 853","CO3","2655","Found","1999","27.197000","15.904500","(27.197, 15.9045)"
"Dar al Gani 854","CO3","490","Found","1999","27.173170","15.937330","(27.17317, 15.93733)"
"Dar al Gani 857","Ureilite","72","Found","1999","27.041500","16.372500","(27.0415, 16.3725)"
