"name","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Owens Valley","Iron, IIIAB","192800","Found","1913","37.466670","-118.000000","(37.46667, -118.0)"
"Sakauchi","Iron","4180","Fell","1913","35.666670","136.300000","(35.66667, 136.3)"
"Varpaisjärvi","L6","2000","Found","1913","63.300000","27.733330","(63.3, 27.73333)"
"Appley Bridge","LL6","15000","Fell","1914","53.583330","-2.716670","(53.58333, -2.71667)"
"Artracoona","L6","20810","Found","1914","-29.066670","139.916670","(-29.06667, 139.91667)"
"Carraweena","L3.9","31600","Found","1914","-29.233330","139.933330","(-29.23333, 139.93333)"
"Cartoonkana","L6","294","Found","1914","-29.750000","141.033330","(-29.75, 141.03333)"
"Cratheús (1931)","Iron, IVA","27500","Found","1914","-5.250000","-40.500000","(-5.25, -40.5)"
"Karee Kloof","Iron, IAB-sLL","92100","Found","1914","-31.600000","25.800000","(-31.6, 25.8)"
"Kisvarsány","L6","1550","Fell","1914","48.166670","22.308330","(48.16667, 22.30833)"
"Kopjes Vlei","Iron, IIAB","13600","Found","1914","-29.300000","21.150000","(-29.3, 21.15)"
"Kuttippuram","L6","45000","Fell","1914","10.833330","76.033330","(10.83333, 76.03333)"
"Lushton","L6","6700","Found","1914","40.749720","-97.749720","(40.74972, -97.74972)"
"Morasko","Iron, IAB-MG","290000","Found","1914","52.466670","16.900000","(52.46667, 16.9)"
"Nyirábrany","LL5","1100","Fell","1914","47.550000","22.025000","(47.55, 22.025)"
"Palinshih","Iron","18000","Fell","1914","43.483330","118.616670","(43.48333, 118.61667)"
"Ryechki","L5","13000","Fell","1914","51.133330","34.500000","(51.13333, 34.5)"
"Saint-Sauveur","EH5","14000","Fell","1914","43.733330","1.383330","(43.73333, 1.38333)"
"Willow Creek","Iron, IIIE","51000","Found","1914","43.466670","-106.766670","(43.46667, -106.76667)"
"Yandama","L6","5800","Found","1914","-29.750000","141.033330","(-29.75, 141.03333)"
"Ysleta","Iron, ungrouped","140700","Found","1914","31.650000","-106.183330","(31.65, -106.18333)"
"Albin (pallasite)","Pallasite, PMG","37600","Found","1915","41.500000","-104.100000","(41.5, -104.1)"
"Chico Mountains","Iron, IIAB","212","Found","1915","29.000000","-103.250000","(29.0, -103.25)"
"Gladstone (iron)","Iron, IAB-MG","736600","Found","1915","-23.900000","151.300000","(-23.9, 151.3)"
"Ilinskaya Stanitza","Iron, IIIAB","5621","Found","1915","51.233330","57.383330","(51.23333, 57.38333)"
"Meester-Cornelis","H5","24750","Fell","1915","-6.233330","106.883330","(-6.23333, 106.88333)"
"Naretha","L4","5500","Found","1915","-31.000000","124.833330","(-31.0, 124.83333)"
"Rosebud","H5","54900","Found","1915","30.816670","-97.050000","(30.81667, -97.05)"
"Shiraiwa","H4","950","Found","1915","39.500000","140.200000","(39.5, 140.2)"
"South Byron","Iron, ungrouped","6000","Found","1915","43.033330","-78.033330","(43.03333, -78.03333)"
"Suwa","Iron","203","Found","1915","36.033330","138.083330","(36.03333, 138.08333)"
"Uvalde","H5","8200","Found","1915","29.200000","-99.766670","(29.2, -99.76667)"
"Visuni","H6","594","Fell","1915","25.450000","70.000000","(25.45, 70.0)"
"Waingaromia","Iron, IIIAB","9200","Found","1915","-38.250000","178.083330","(-38.25, 178.08333)"
"Angelica","Iron, IIIAB","14800","Found","1916","44.250000","-88.250000","(44.25, -88.25)"
"Annaheim","Iron, IAB-sLL","13500","Found","1916","52.333330","-104.866670","(52.33333, -104.86667)"
"Baxter","L6","611","Fell","1916","36.750000","-93.500000","(36.75, -93.5)"
"Boguslavka","Iron, IIAB","256000","Fell","1916","44.550000","131.633330","(44.55, 131.63333)"
"Cachari","Eucrite-mmict","23500","Found","1916","-36.400000","-59.500000","(-36.4, -59.5)"
"Calivo","Stone-uncl","2400","Fell","1916","11.750000","122.333330","(11.75, 122.33333)"
"Ekh Khera","H6","840","Fell","1916","28.266670","78.783330","(28.26667, 78.78333)"
"Fillmore","Iron","113","Found","1916","49.883333","-103.600000","(49.883333, -103.6)"
"Lost Creek","H3.8","4018","Found","1916","39.124170","-98.167780","(39.12417, -98.16778)"
"Mount Magnet","Iron, IAB-sHH","16600","Found","1916","-28.166670","118.500000","(-28.16667, 118.5)"
"Okechobee","L4","1000","Found","1916","26.683330","-80.800000","(26.68333, -80.8)"
"Pampa de Agua Blanca","L6","10","Found","1916","-24.166670","-69.833330","(-24.16667, -69.83333)"
"Petropavlovka","H4","1773","Found","1916","48.200000","43.733330","(48.2, 43.73333)"
"Rampurhat","LL","100","Fell","1916","24.166670","87.766670","(24.16667, 87.76667)"
"Renqiu","L6","355","Fell","1916","38.666670","116.133330","(38.66667, 116.13333)"
"Sinai","L6","1455","Fell","1916","30.900000","32.483330","(30.9, 32.48333)"
"Sultanpur","L/LL6","1710.5","Fell","1916","25.933330","84.283330","(25.93333, 84.28333)"
"Tomita","L","600","Fell","1916","34.500000","133.750000","(34.5, 133.75)"
"Treysa","Iron, IIIAB-an","63000","Fell","1916","50.916670","9.183330","(50.91667, 9.18333)"
"Bluff (b)","L4","16000","Found","1917","29.863060","-96.926670","(29.86306, -96.92667)"
"Colby (Wisconsin)","L6","104000","Fell","1917","44.900000","-90.283330","(44.9, -90.28333)"
"Cranganore","L6","1460","Fell","1917","10.200000","76.266670","(10.2, 76.26667)"
"Garhi Yasin","Iron, IIE","380","Fell","1917","27.883330","68.533330","(27.88333, 68.53333)"
"Independence","L6","880","Fell","1917","39.083330","-94.400000","(39.08333, -94.4)"
"Nan Yang Pao","L6","52900","Fell","1917","35.666670","103.500000","(35.66667, 103.5)"
"New Almelo","L5","8000","Found","1917","39.666670","-100.000000","(39.66667, -100.0)"
"Pei Xian","Iron","400000","Found","1917","34.700000","117.000000","(34.7, 117.0)"
"Pierceville (iron)","Iron, IIIAB","100000","Found","1917","37.866670","-100.666670","(37.86667, -100.66667)"
"Plainview (1917)","H5","700000","Found","1917","34.116670","-101.783330","(34.11667, -101.78333)"
"Ranchapur","H4","290.39999999999998","Fell","1917","23.983330","87.083330","(23.98333, 87.08333)"
"Sediköy","L6","240","Fell","1917","38.300000","27.133330","(38.3, 27.13333)"
"Silistra","Achondrite-ung","0.15","Fell","1917","44.116670","27.266670","(44.11667, 27.26667)"
"Strathmore","L6","13400","Fell","1917","56.583330","-3.250000","(56.58333, -3.25)"
"Troup","L6","1020","Fell","1917","32.166670","-95.100000","(32.16667, -95.1)"
"Tulia (a)","H3-4","86000","Found","1917","34.616670","-101.950000","(34.61667, -101.95)"
